Date,ROI-USD,ROI-ETH
2020-05-11,-1.0960170381522887,0.0018215364903501445
2020-05-12,1.5606941165735773,1.294540685081994
2020-05-13,5.792492520314315,0.236103641572039
2020-05-14,7.660064375652871,0.2699545308204854
2020-05-15,3.0579835618564593,-0.03190856834432826
2020-05-16,5.414939843682788,-0.74752621246267
2020-05-17,8.48379917659455,-0.7723501486754184
2020-05-18,10.710668061575184,-2.0324615324107573
2020-05-19,11.108009582355207,-1.663439614284174
2020-05-20,9.591985142609316,-1.2025625890597915
2020-05-21,4.361141259405887,-1.2013973906221385
2020-05-22,9.29094621690409,-0.29367848211145153
2020-05-23,9.168995974484877,-0.2688947304378551
2020-05-24,6.012429785632292,-1.2214331621239818
2020-05-25,7.439081921334239,-0.8781101734038155
2020-05-26,5.31011478071008,-0.334440527885571
2020-05-27,8.588489684744067,-1.206033216717878
2020-05-28,13.047827733643931,-2.4935198632169824
2020-05-29,12.777398799956096,-3.3202460994294016
2020-05-30,20.417251568742177,-5.77180640638313
2020-05-31,16.70808907761233,-4.663857690135519
2020-06-01,22.980289105332275,-5.239268137649689
2020-06-02,19.337249318281355,-4.719179245069385
2020-06-03,21.910041035375052,-5.008002304361103
2020-06-04,22.005484096758085,-4.42106773591561
2020-06-05,21.319835579332903,-3.758589705060581
2020-06-06,21.83707847756486,-4.047895873738762
2020-06-07,22.444988576609862,-4.295596021812784
2020-06-08,24.054722257275877,-3.6116831209431624
2020-06-09,24.13461766424912,-2.593337071177759
2020-06-10,27.547950558497895,-0.8077308985062188
2020-06-11,19.636210225602767,-2.2387171430853723
2020-06-12,24.000420475499126,-0.5639143395280741
2020-06-13,24.181370228379937,-0.6734876200521727
2020-06-14,22.09108357607329,-0.23754746423864992
2020-06-15,21.688429789097757,0.07216483799622725
2020-06-16,23.865416573571675,0.2511385281468499
2020-06-17,23.255221990998116,0.0974599858576623
2020-06-18,22.027832230736415,-0.2640344762435096
2020-06-19,20.575037320706663,-0.07461754889668759
2020-06-20,21.909008080887055,1.0311170876000166
2020-06-21,21.05612529256715,0.6316406846935274
2020-06-22,26.410197099493104,-0.6658684554451801
2020-06-23,26.420440961755897,-0.6301122054621856
2020-06-24,23.311084378660937,-0.33481804623505507
2020-06-25,22.33036205549507,-0.4302100389737116
2020-06-26,21.01804954334473,-0.422978434653332
2020-06-27,16.879049035983265,-0.9548354939954573
2020-06-28,18.513062573032784,-0.9196843215216052
2020-06-29,20.449775490280118,-0.38150314848025413
2020-06-30,19.91471082550195,0.003899136892818955
2020-07-01,22.57510350101431,0.48348236015920015
2020-07-02,22.583808968885815,2.225116942431064
2020-07-03,22.583808968885815,2.225116942431064
2020-05-11,,2.226938478921414
2020-05-12,,3.519657627513058
2020-05-13,,2.4612205840031027
2020-05-14,,2.4950714732515493
2020-05-15,,2.1932083740867356
2020-05-16,,1.477590729968394
2020-05-17,,1.4527667937556454
2020-05-18,,0.19265541002030662
2020-05-19,,0.5616773281468898
2020-05-20,,1.0225543533712722
2020-05-21,,1.0237195518089253
2020-05-22,,1.9314384603196122
2020-05-23,,1.9562222119932087
2020-05-24,,1.0036837803070822
2020-05-25,,1.3470067690272485
2020-05-26,,1.890676414545493
2020-05-27,,1.0190837257131862
2020-05-28,,-0.268402920785918
2020-05-29,,-1.0951291569983372
2020-05-30,,-3.546689463952065
2020-05-31,,-2.4387407477044536
2020-06-01,,-3.0141511952186244
2020-06-02,,-2.49406230263832
2020-06-03,,-2.7828853619300378
2020-06-04,,-2.1959507934845446
2020-06-05,,-1.5334727626295157
2020-06-06,,-1.822778931307696
2020-06-07,,-2.0704790793817183
2020-06-08,,-1.3865661785120964
2020-06-09,,-0.3682201287466931
2020-06-10,,1.417386043924847
2020-06-11,,-0.01360020065430656
2020-06-12,,1.6612026029029916
2020-06-13,,1.551629322378893
2020-06-14,,1.9875694781924158
2020-06-15,,2.297281780427293
2020-06-16,,2.4762554705779154
2020-06-17,,2.322576928288728
2020-06-18,,1.9610824661875559
2020-06-19,,2.150499393534378
2020-06-20,,3.256234030031082
2020-06-21,,2.8567576271245927
2020-06-22,,1.5592484869858851
2020-06-23,,1.5950047369688798
2020-06-24,,1.8902988961960103
2020-06-25,,1.794906903457354
2020-06-26,,1.8021385077777334
2020-06-27,,1.2702814484356082
2020-06-28,,1.3054326209094604
2020-06-29,,1.8436137939508115
2020-06-30,,2.2290160793238845
2020-07-01,,2.7085993025902657
2020-07-02,,4.45023388486213
2020-07-03,,4.45023388486213
